applicant_id,email,email_preferred,school_decision,student_decision,ft_pt,gre_verbal,gre_quant,gre_analytical,applied_dual_prg,birth_date,gender,ethnicity,low_income
1173,sadoon.el-qadir@this.university.edu,el-qadir_sadoon@yahoo.com,A,A,ft,161,134,3.5,NODUAL,3/4/88,M,ME,Y
3761,dhaafir.al-khan@gmail.com,al-khan_dhaafir@this.university.edu,A,A,ft,132,144,4,NODUAL,10/12/91,M,ME,N
602,joshua.mirandamunoz@this.university.edu,mirandamunoz_joshua@yahoo.com,R,,ft,152,132,4,YES,2/1/88,W,HL,N
3626,tercell.martin@yahoo.com,martin_tercell@gmail.com,A,A,ft,162,168,4,NODUAL,4/20/98,NB,B,N
2482,sonnie.yang@this.university.edu,,A,D,ft,155,131,5,NODUAL,5/14/89,M,AP,N
1561,melissa.mcconnell@gmail.com,mcconnell_melissa@yahoo.com,R,,pt,169,159,3,NODUAL,7/24/94,W,W,Y
1394,angel.hurtado@gmail.com,,A,A,pt,168,156,5,YES,2/21/97,NB,HL,N
4764,tahleela.el-mourad@Outlook.com,el-mourad_tahleela@yahoo.com,A,A,ft,165,150,4.5,NODUAL,2/18/91,W,ME,N
1381,jessica.duk@Outlook.com,duk_jessica@yahoo.com,W,,ft,138,137,6,YES,4/24/99,W,AP,N
2304,rachael.hyatt@Outlook.com,hyatt_rachael@this.university.edu,A,D,ft,147,144,5.5,NODUAL,12/7/90,W,AN,N
1984,kinaana.al-quadri@this.university.edu,al-quadri_kinaana@this.university.edu,R,,ft,145,136,3.5,NODUAL,2/17/96,NB,ME,N
1199,tiana.gadison@this.university.edu,gadison_tiana@Outlook.com,A,A,ft,170,140,3.5,YES,5/10/99,M,B,Y
3398,tabor.kuetemann@Outlook.com,kuetemann_tabor@Outlook.com,R,,ft,151,159,,NODUAL,3/2/96,W,W,N
1327,jo-el.chin@gmail.com,chin_jo-el@this.university.edu,A,A,ft,142,153,5,NODUAL,1/25/87,M,AN,Y
2987,shay'aujanae.hobbs@Outlook.com,hobbs_shay'aujanae@gmail.com,A,A,ft,142,137,2.5,NODUAL,4/19/92,W,B,N
4920,marcos.sepeda@this.university.edu,sepeda_marcos@yahoo.com,A,D,pt,,164,5.5,NODUAL,12/20/95,W,HL,Y
2432,phoutthasinh.perez@gmail.com,perez_phoutthasinh@yahoo.com,R,,ft,143,145,3.5,NODUAL,12/15/98,W,AP,Y
4627,talon.pastorini@gmail.com,pastorini_talon@this.university.edu,A,D,ft,147,160,4.5,NODUAL,12/15/96,M,AN,N
3571,almaasa.al-kaba@Outlook.com,al-kaba_almaasa@this.university.edu,R,,pt,156,137,4.5,NODUAL,4/2/99,W,ME,N
1063,austin.sakamoto@gmail.com,,A,D,pt,166,140,2.5,NODUAL,10/28/00,W,AP,N
120,marriah.montoya@gmail.com,montoya_marriah@this.university.edu,A,A,pt,154,167,6,NODUAL,12/25/90,W,AN,N
3421,randi.botts@this.university.edu,botts_randi@gmail.com,W,,ft,154,135,,NODUAL,7/16/85,NB,B,Y
767,kendall.chaparromedina@this.university.edu,chaparromedina_kendall@gmail.com,A,A,ft,154,139,4,NODUAL,12/19/90,M,HL,Y
676,sade.kendle@Outlook.com,kendle_sade@gmail.com,A,A,ft,153,145,5,NODUAL,11/6/95,W,B,N
2501,tanner.bandeko@gmail.com,bandeko_tanner@gmail.com,R,,ft,133,130,4,NODUAL,10/8/91,W,W,N
4397,judah.garcia@yahoo.com,garcia_judah@gmail.com,A,D,ft,163,140,4,NODUAL,11/24/88,W,AN,Y
1536,tyler.colbert@Outlook.com,colbert_tyler@Outlook.com,A,A,pt,167,132,4,NODUAL,8/3/98,NB,B,N
3035,eri.young@this.university.edu,young_eri@yahoo.com,A,A,ft,135,135,3,NODUAL,8/11/86,W,AP,N
1640,mario.breckenridge@gmail.com,breckenridge_mario@Outlook.com,R,,ft,142,139,3.5,NODUAL,11/1/99,W,AN,N
2336,bailey.doan@yahoo.com,doan_bailey@gmail.com,A,D,sub,133,135,5.5,NODUAL,6/6/98,W,AP,N
1110,tristyn.krings@yahoo.com,,A,A,ft,135,156,2.5,NODUAL,7/7/86,W,W,Y
1516,shaakira.el-hassen@Outlook.com,el-hassen_shaakira@gmail.com,A,A,ft,166,158,2.5,NODUAL,8/18/00,W,ME,N
956,tuyet.stormerjr@gmail.com,stormerjr_tuyet@Outlook.com,R,,ft,162,159,5.5,NODUAL,4/18/00,W,AP,N
1962,nikoma.sosa@this.university.edu,sosa_nikoma@yahoo.com,A,D,ft,136,158,3,YES,7/12/89,NB,AN,Y
2743,efrain.taylor@yahoo.com,taylor_efrain@gmail.com,R,,ft,152,160,2.5,YES,11/19/97,M,HL,N
1360,elysa.jacobs@yahoo.com,jacobs_elysa@Outlook.com,A,D,sub,163,142,2.5,NODUAL,6/24/99,M,HL,N
1607,khairi.al-younes@yahoo.com,al-younes_khairi@yahoo.com,A,A,ft,155,149,2.5,NODUAL,8/13/88,W,ME,N
4234,miranda.sutro@yahoo.com,sutro_miranda@gmail.com,A,A,pt,139,,4.5,NODUAL,12/22/99,M,W,Y
2864,piper.skaggs@this.university.edu,skaggs_piper@Outlook.com,R,,ft,156,142,3,NODUAL,3/18/94,NB,AN,Y
2062,karla.burton@this.university.edu,,R,,ft,165,132,,YES,6/26/91,W,HL,N
4016,daawood.el-kaber@gmail.com,el-kaber_daawood@this.university.edu,A,D,ft,140,155,5,NODUAL,4/26/00,NB,ME,N
90,quraish.el-muhammad@yahoo.com,el-muhammad_quraish@this.university.edu,R,,ft,150,157,4.5,YES,9/19/92,M,ME,N
4973,daniel.wierenga@gmail.com,wierenga_daniel@this.university.edu,A,D,sub,135,150,4.5,NODUAL,10/16/00,M,W,N
694,sitaara.al-assaf@yahoo.com,al-assaf_sitaara@gmail.com,A,D,ft,148,165,6,NODUAL,3/6/97,W,ME,Y
3508,rachel.todacheene@Outlook.com,todacheene_rachel@Outlook.com,R,,ft,148,134,5.5,NODUAL,3/16/97,M,AN,N
2579,devin.acosta@this.university.edu,acosta_devin@this.university.edu,A,D,ft,143,167,,NODUAL,4/26/97,NB,HL,Y
2037,genai.edward@this.university.edu,edward_genai@this.university.edu,A,A,ft,147,151,4.5,NODUAL,1/19/86,W,B,N
2678,brian.flores-nielsen@this.university.edu,flores-nielsen_brian@gmail.com,A,D,pt,143,153,5.5,NODUAL,6/26/93,M,HL,N
92,zohal.simpson@this.university.edu,simpson_zohal@gmail.com,R,,ft,160,141,3.5,NODUAL,3/28/86,M,AP,N
3960,anthony.patton@gmail.com,patton_anthony@yahoo.com,A,A,sub,139,169,5,NODUAL,7/3/94,W,B,N
1662,dominic.mai@this.university.edu,mai_dominic@gmail.com,A,A,pt,,134,5,NODUAL,11/11/86,M,AP,N
355,emily.kane@Outlook.com,kane_emily@Outlook.com,A,D,pt,164,,5.5,NODUAL,12/20/89,NB,W,N
4659,deven.gonzales@yahoo.com,gonzales_deven@yahoo.com,A,D,ft,157,131,5.5,NODUAL,10/11/00,W,AN,N
3730,umair.al-musa@this.university.edu,al-musa_umair@yahoo.com,R,,pt,156,136,3,NODUAL,6/5/89,M,ME,N
1663,albert.koester@this.university.edu,koester_albert@this.university.edu,A,A,ft,137,160,5.5,NODUAL,6/28/86,NB,AP,N
2615,tristen.watson@yahoo.com,watson_tristen@Outlook.com,A,D,pt,157,153,,NODUAL,5/21/90,W,W,N
3416,natalie.koh@yahoo.com,koh_natalie@Outlook.com,A,A,ft,,138,5.5,NODUAL,3/22/89,M,AP,N
867,isaiah.jauch@Outlook.com,jauch_isaiah@gmail.com,A,D,ft,151,146,3,NODUAL,8/8/85,NB,AN,N
1214,michael.larranaga@gmail.com,larranaga_michael@this.university.edu,A,A,ft,164,131,2.5,NODUAL,1/22/00,M,HL,N
545,saaliha.el-barakat@gmail.com,,W,,ft,145,168,6,NODUAL,11/6/88,W,ME,Y
4951,khalid.abrams@yahoo.com,abrams_khalid@this.university.edu,A,A,sub,,137,3,YES,10/15/93,W,B,Y
2699,kristopher.brodie@this.university.edu,brodie_kristopher@yahoo.com,R,,sub,162,152,3,NODUAL,5/18/00,M,HL,N
2610,drake.pike@Outlook.com,pike_drake@Outlook.com,A,D,pt,133,164,4,NODUAL,12/9/96,W,W,Y
1412,gregory.ahmadu@this.university.edu,ahmadu_gregory@this.university.edu,A,A,ft,170,150,,NODUAL,11/24/95,W,B,Y
457,alexis.loeralomeli@yahoo.com,loeralomeli_alexis@gmail.com,W,,ft,145,147,3.5,NODUAL,1/4/93,W,HL,N
1193,arlisa.naseri@gmail.com,naseri_arlisa@yahoo.com,A,A,ft,131,155,3.5,NODUAL,3/10/86,W,B,N
